"cbsa_code","cbsa_title","state_fips_list","n_states","multi_state_metro"
"45140","Tahlequah, OK","40",1,FALSE
"45180","Talladega-Sylacauga, AL","01",1,FALSE
"45220","Tallahassee, FL","12",1,FALSE
"45300","Tampa-St. Petersburg-Clearwater, FL","12",1,FALSE
"45340","Taos, NM","35",1,FALSE
"45380","Taylorville, IL","17",1,FALSE
"45460","Terre Haute, IN","18",1,FALSE
"45500","Texarkana, TX-AR","05;48",2,TRUE
"45520","The Dalles, OR","41",1,FALSE
"45580","Thomaston, GA","13",1,FALSE
"45620","Thomasville, GA","13",1,FALSE
"45660","Tiffin, OH","39",1,FALSE
"45700","Tifton, GA","13",1,FALSE
"45740","Toccoa, GA","13",1,FALSE
"45780","Toledo, OH","39",1,FALSE
"45820","Topeka, KS","20",1,FALSE
"45860","Torrington, CT","09",1,FALSE
"45880","Town of Pecos, TX","48",1,FALSE
"45900","Traverse City, MI","26",1,FALSE
"45940","Trenton-Princeton, NJ","34",1,FALSE
"45980","Troy, AL","01",1,FALSE
"46020","Truckee-Grass Valley, CA","06",1,FALSE
"46060","Tucson, AZ","04",1,FALSE
"46100","Tullahoma-Manchester, TN","47",1,FALSE
"46140","Tulsa, OK","40",1,FALSE
"46180","Tupelo, MS","28",1,FALSE
"46220","Tuscaloosa, AL","01",1,FALSE
"46300","Twin Falls, ID","16",1,FALSE
"46340","Tyler, TX","48",1,FALSE
"46380","Ukiah, CA","06",1,FALSE
"46460","Union City, TN","47",1,FALSE
